date,collector_number,name,usd_foil,usd,eur_foil,scryfall_uri
2026-08-17,79,"Andúril, Flame of the West",28.16,,35.00,https://scryfall.com/card/hoc/79/and%C3%BAril-flame-of-the-west?utm_source=api
2026-08-17,80,"Andúril, Narsil Reforged",44.56,,31.32,https://scryfall.com/card/hoc/80/and%C3%BAril-narsil-reforged?utm_source=api
2026-08-17,68,"Aragorn and Arwen, Wed",12.70,,86.55,https://scryfall.com/card/hoc/68/aragorn-and-arwen-wed?utm_source=api
2026-08-17,69,"Aragorn, the Uniter",43.81,,46.33,https://scryfall.com/card/hoc/69/aragorn-the-uniter?utm_source=api
2026-08-17,70,"Arwen, Mortal Queen",32.78,,40.09,https://scryfall.com/card/hoc/70/arwen-mortal-queen?utm_source=api
2026-08-17,64,"Arwen, Weaver of Hope",42.40,,67.03,https://scryfall.com/card/hoc/64/arwen-weaver-of-hope?utm_source=api
2026-08-17,81,Bilbo's Ring,32.94,,32.96,https://scryfall.com/card/hoc/81/bilbos-ring?utm_source=api
2026-08-17,62,Call Forth the Tempest,54.60,,47.89,https://scryfall.com/card/hoc/62/call-forth-the-tempest?utm_source=api
2026-08-17,63,Cavern-Hoard Dragon,71.97,,140.00,https://scryfall.com/card/hoc/63/cavern-hoard-dragon?utm_source=api
2026-08-17,53,Dawn of a New Age,24.96,,39.07,https://scryfall.com/card/hoc/53/dawn-of-a-new-age?utm_source=api
2026-08-17,65,Delighted Halfling,75.04,,67.79,https://scryfall.com/card/hoc/65/delighted-halfling?utm_source=api
2026-08-17,66,Elven Chorus,23.03,,28.95,https://scryfall.com/card/hoc/66/elven-chorus?utm_source=api
2026-08-17,71,Flame of Anor,38.61,,18.97,https://scryfall.com/card/hoc/71/flame-of-anor?utm_source=api
2026-08-17,54,Flowering of the White Tree,74.16,,90.00,https://scryfall.com/card/hoc/54/flowering-of-the-white-tree?utm_source=api
2026-08-17,72,"Galadriel, Light of Valinor",146.46,,163.29,https://scryfall.com/card/hoc/72/galadriel-light-of-valinor?utm_source=api
2026-08-17,56,Galadriel's Dismissal,119.60,,100.12,https://scryfall.com/card/hoc/56/galadriels-dismissal?utm_source=api
2026-08-17,82,Glamdring,29.84,,31.83,https://scryfall.com/card/hoc/82/glamdring?utm_source=api
2026-08-17,73,"Gríma, Saruman's Footman",21.68,,21.06,https://scryfall.com/card/hoc/73/gr%C3%ADma-sarumans-footman?utm_source=api
2026-08-17,67,Last March of the Ents,66.38,,99.80,https://scryfall.com/card/hoc/67/last-march-of-the-ents?utm_source=api
2026-08-17,74,"Lotho, Corrupt Shirriff",63.31,,31.30,https://scryfall.com/card/hoc/74/lotho-corrupt-shirriff?utm_source=api
2026-08-17,88,"Minas Morgul, Dark Fortress",66.97,,76.00,https://scryfall.com/card/hoc/88/minas-morgul-dark-fortress?utm_source=api
2026-08-17,89,Minas Tirith,15.60,,29.73,https://scryfall.com/card/hoc/89/minas-tirith?utm_source=api
2026-08-17,83,Mithril Coat,87.63,,84.00,https://scryfall.com/card/hoc/83/mithril-coat?utm_source=api
2026-08-17,90,Mount Doom,42.32,,37.30,https://scryfall.com/card/hoc/90/mount-doom?utm_source=api
2026-08-17,59,Orcish Bowmasters,239.88,,204.08,https://scryfall.com/card/hoc/59/orcish-bowmasters?utm_source=api
2026-08-17,85,Palantír of Orthanc,112.02,,129.71,https://scryfall.com/card/hoc/85/palant%C3%ADr-of-orthanc?utm_source=api
2026-08-17,58,Raise the Palisade,29.02,,38.33,https://scryfall.com/card/hoc/58/raise-the-palisade?utm_source=api
2026-08-17,86,Relic of Sauron,44.92,,59.09,https://scryfall.com/card/hoc/86/relic-of-sauron?utm_source=api
2026-08-17,57,Reprieve,17.95,,39.00,https://scryfall.com/card/hoc/57/reprieve?utm_source=api
2026-08-17,91,Rivendell,24.48,,25.19,https://scryfall.com/card/hoc/91/rivendell?utm_source=api
2026-08-17,75,Saruman of Many Colors,41.73,,41.90,https://scryfall.com/card/hoc/75/saruman-of-many-colors?utm_source=api
2026-08-17,76,"Sauron, the Dark Lord",182.19,,155.25,https://scryfall.com/card/hoc/76/sauron-the-dark-lord?utm_source=api
2026-08-17,77,"Sauron, the Lidless Eye",27.75,,58.56,https://scryfall.com/card/hoc/77/sauron-the-lidless-eye?utm_source=api
2026-08-17,87,The Black Gate,55.83,,118.96,https://scryfall.com/card/hoc/87/the-black-gate?utm_source=api
2026-08-17,55,The Gaffer,35.87,,,https://scryfall.com/card/hoc/55/the-gaffer?utm_source=api
2026-08-17,84,The One Ring,432.10,,549.06,https://scryfall.com/card/hoc/84/the-one-ring?utm_source=api
2026-08-17,92,The Shire,25.21,,16.00,https://scryfall.com/card/hoc/92/the-shire?utm_source=api
2026-08-17,78,Tom Bombadil,61.22,,69.42,https://scryfall.com/card/hoc/78/tom-bombadil?utm_source=api
2026-08-17,60,Witch-king of Angmar,54.29,,100.71,https://scryfall.com/card/hoc/60/witch-king-of-angmar?utm_source=api
2026-08-17,61,"Witch-king, Bringer of Ruin",88.26,,46.94,https://scryfall.com/card/hoc/61/witch-king-bringer-of-ruin?utm_source=api
2026-08-17,79,"Andúril, Flame of the West",28.16,,35.00,https://scryfall.com/card/hoc/79/and%C3%BAril-flame-of-the-west?utm_source=api
2026-08-17,80,"Andúril, Narsil Reforged",44.56,,31.32,https://scryfall.com/card/hoc/80/and%C3%BAril-narsil-reforged?utm_source=api
